Book,Publisher,Category,Subcategory,State/Country,Date,Month,Year,Host,Meeting No.,Contributor,Composite,Aaron T.,Adam H.,Adam W.,Alex Ha.,Alex He.,Alex M.,Alex S.,Allen M.,Andrew F.,Andrew P.,Andrew S.,Anfernee A.,Annie H.,Ben C.,Ben S.,Ben W.,Bill K.,Bobby T.,Brant C.,Brian La.,Brian Li.,Carl R.,Charlie D.,Charlie M.,Chelsea P.,Chris G.,Chris J.,Chris Mo.,Chris My.,Colin J.,Cory P.,Dan S.,Darrell L.,Dave E.,Dave S.,David A.,David J.,David W.,Denis M.,Dick K.,DJ W.,Donny H.,Drew B.,Dustin S.,Eric A.,Eric B.,Eric H.,Erik W.,Forrest T.,Frank B.,Greg A.,Ian S.,Jake W.,James E.,Jason F.,Jason M.,Jason S.,Jayson L.,Jeremy S.,Jesse J.,Jim B.,Jim C.,Joe C.,Joe J.,Joe S.,Joel B.,John S.,John V.,Jordyn P.,Josh J.,Josh R.,Juan B.,Katie S.,Kevin V.,Kevin W.,Lauren D.,Lee M.,Maridee R.,Mark A.,Mark N.,Matt A.,Matt G.,Matt S.,Matt T.,Matthew S.,Merritt W.,Michael P.,Mike M.,Mike V.,Nate M.,Nick K.,OJ W.,Paul H.,Paul K.,Paul W.,Phil H.,Phil W.,Rachel H.,Renee K.,Richard A.,Rick S.,Rob C.,Rusty O.,Ryan F.,Ryan Y.,Sam E.,Sam S.,Sara P.,Sarah G.,Scott M.,Scott T.,Shelley B.,Steve B.,Steve D.,Steve M.,Steve P.,Steve S.,Steve W.,Stuart W.,Tim H.,Tony H.,Tony W.,Trent D.,Tyler S.,Wes B.,Zach M.
Victory at Sea Porter with Coffee and Vanilla,Ballast Point Brewing Co.,Porter,Coffee Porter,California,6/6/2016,June,2016,Eric A.,38,Eric A.,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,4.00,,2.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,
Wilco Tango Foxtrot,Lagunitas Brewing Co.,Brown,,California,9/26/2017,September,2017,Lee M.,53,Jake W.,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,3.00,,3.25,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,
Heat Seeker Hazy Double India Pale Ale,Jackie O's Brewery,IPA,New England/Hazy IPA,Ohio,5/31/2021,May,2021,Scott T.,95,Jake W.,3.07,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,3.75,,,,2.75,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,
Helles,Zillicoah Beer Co.,Lager,Helles Lager,North Carolina,10/1/2021,October,2021,Jim B.,100,Jim B.,3.07,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,3.00,,2.75,,,,,,2.75,,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lager,Skol,Lager,European Pale Lager,Rwanda,3/23/2023,March,2023,Zach M.,117,Paul K.,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,2.75,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,3.00,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
Experimental J-Hole Red India Pale Ale,Rhinegeist Brewing Co.,IPA,Red IPA,Ohio,12/8/2017,December,2018,Paul W.,56,Phil H.,3.07,,,,,,,,,,,,,,,,3.00,,2.25,,,,,,,,,,,,,,,,2.75,,,,3.25,,,,,,,2.50,,4.00,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,2.50,,2.75,,,,,,,,,3.75,,,,,,,,2.75,3.00,4.00,,,,3.00,,,,,,,,,,,2.75,,,,,4.00,3.25,,,,2.50,,,,,
Boom Sauce New England IPA,Lord Hobo Brewing Co.,IPA,New England/Hazy IPA,Massachusetts,12/6/2019,December,2020,Paul W.,80,Eric H.,3.07,4.00,,,,,,,,,,,,,,,3.00,,,,,,,3.75,,,3.50,,,,,,,,2.50,,,,,,,,,,,2.25,,4.50,,,,2.50,,3.00,,,3.00,,,2.75,,,,,,,,,,,,2.75,,,,,,2.50,,,,,,,,,,,,,,,,,3.00,2.50,,,,,,,,,,,,,,,,3.50,,,,,,3.25,,,,,,,,3.00,
Dead Ringer Oktoberfest,Ballast Point Brewing Co.,Oktoberfest,Marzen,California,9/28/2018,September,2018,Aaron T. and Jeremy S.,65,Steve B.,3.07,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,2.50,,,,,,,,3.00,,3.00,3.00,,,2.75,,,,,,,,,,,,4.25,,,,3.00,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,
Dunkin' Coffee Porter,Harpoon Brewery,Porter,Coffee Porter,Massachusetts,2/15/2019,February,2019,Jeremy S.,70,Kevin W.,3.07,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,2.50,,3.25,,,3.50,,,3.25,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,2.75,,3.50,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,2.75
Plead the 5th Imperial Stout,Dark Horse Brewing Co.,Stout,Russian Imperial Stout,Michigan,2/15/2019,February,2019,Jeremy S.,70,Scott T.,3.07,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,2.00,,4.00,,,2.50,,,4.00,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,3.00,,2.75,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,2.75
Nate's Coffee Stout,Country Boy Brewing,Stout,Coffee Stout,Kentucky,7/5/2019,July,2019,Dave E.,75,Jason M.,3.07,3.00,,,,,,,,,,,,,,,3.50,,,,,,,3.00,,,,,,,,,,,3.25,,,,,,,,,2.00,,,,,,,,,,3.50,,,3.50,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,3.00
Oktoberfest German-Style Marzen,Founders Brewing Co.,Oktoberfest,Marzen,Michigan,9/24/2021,September,2021,Charlie D.,99,Jason M.,3.07,,,,,,,,,,,,,,,3.25,,,,,,,,2.00,,,,,,,,,,,2.50,,,,,,,,,,2.75,3.00,,3.25,,,,3.25,,2.75,,,4.25,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,
Baltic Porter,Uinta Brewing Co.,Porter,Baltic Porter,Utah,1/17/2014,January,2014,Phil H.,9,Phil H.,3.06,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,3.00,,4.00,,,,,1.00,,,4.00,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,
Woodchuck Pumpkin Reserve,Vermont Hard Cider Co.,Pumpkin,,Vermont,10/11/2014,October,2014,Phil H.,18,Matt T.,3.06,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,4.00,,,,,,2.50,,,,,,,,,,,,,,,3.00,,,,,3.00,,,,,,,3.00,,,
Coffee Brown Ale,Mt. Carmel Brewing Co.,Brown,Coffee Brown,Ohio,7/22/2015,July,2015,Trent D.,27,Scott T.,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,3.50,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,3.00,,,,,,,,,,,3.00,,,,,2.00,,,,,,,,,,,,3.00,,,
Sweet Baby Java Espresso Bean Choc. PB Porter,DuClaw Brewing Co.,Porter,American Porter,Maryland,2/29/2020,February,2020,Tony H.,82,Greg A.,3.06,,,3.50,,,,,,,,,,,,3.50,2.50,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,2.25,,3.50,,,3.25,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,3.00,
Moosehead Lager,Moosehead Breweries Ltd.,Lager,American Lager,Canada,4/29/2023,April,2023,Ben W.,118,Jake W.,3.06,,,,,,,,3.75,,,,,,,,3.00,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,3.00,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,
Lurching Towards the Sun Imperial India Pale Ale,Magnify Brewing Co.,IPA,Imperial IPA,New Jersey,2/29/2024,February,2024,Scott T.,128,Jake W.,3.06,,,,,,,,,,,,3.50,,,3.25,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,3.00,,,,,,,,,,,,,,,
Old No. 38 Stout,North Coast Brewing Co.,Stout,Irish Stout,California,5/16/2025,May,2025,Jake W.,143,Jake W.,3.06,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,3.00,,,,,,,,,,,,,2.75,,,3.25,,,,,,,,,,,,,,,
Spotted Cow Ale,New Glarus Brewing Co.,Farmhouse,,Wisconsin,5/13/2015,May,2015,Scott T.,25,Phil H.,3.06,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,2.00,,3.00,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,4.50,,,,,,,,,,,,,,,3.50,,,,,,,,,,3.50,,,,,
Rounding Third Red IPA,MadTree Brewing Co.,IPA,Red IPA,Ohio,7/1/2015,June,2015,Sam E.,26,Dave E.,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,2.00,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,5.00,,,,,,,,,,3.50,,,,,3.00,,,,,,,,,,,,3.00,,,
Brown Shugga',Lagunitas Brewing Co.,Brown,,California,1/19/2017,January,2017,Jake W.,45,Eric H.,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,3.00,,3.50,,,,,,3.50,,,,,,,,,3.25,,,,,,,,2.75,,,,,3.50,,,,2.50,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schloppy Seconds,Atwater Brewing Co.,Wheat,American Pale Wheat,Michigan,6/17/2017,June,2017,Denis M.,50,Denis M.,3.06,,,2.00,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,2.75,,,,,,3.50,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,3.00,,2.50,,,,,,,,
Mole Porter,Second Self Beer Co.,Porter,American Porter,Georgia,11/16/2017,November,2017,Scott T.,55,Paul K.,3.06,,,,,,,,,,,,,,,,,,3.50,,,,,2.75,,,,,,,,,,,3.00,,,,,1.25,,,,,,3.50,,2.25,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,
Miaou Belgian-Style Wheat Ale,Whiner Beer Co.,Wheat,Belgian Wheat,Illinois,3/23/2018,March,2018,Kevin W. and Dave E.,59,Sam E.,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,2.00,,,,,,,,3.50,3.00,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,2.00,,,,,,,,,,,4.00,,4.25,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,
Passing Through IPA,Fifty West Brewing Co.,IPA,New England/Hazy IPA,Ohio,9/25/2020,September,2020,Paul K. and Chalie D.,88,Paul K.,3.06,,,,,,,,,,,,,,,3.50,2.00,,,,,,,3.00,,,,,,,,,,,2.25,,,,,,,,,,,,,2.25,,,,,,,,,3.25,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turbo Reaper IPA,3 Floyds Brewing Co.,IPA,American IPA,Indiana,1/31/2025,January,2025,Scott T.,139,Jake W.,3.06,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,2.75,,3.00,,,,,,,3.50,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,3.75,,,,,,,,,,,,,,,
Wade Boggs Style,Mirror Twin Brewing,Oktoberfest,Marzen,Kentucky,8/22/2025,August,2025,Jeremy S.,146,Jeremy S.,3.05,,,,,,,,,,,,,,,2.75,,4.50,,,,,,2.00,,,,,3.25,,,,,,2.50,,2.50,,,,,,,,,,,,,,,,,3.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,3.25,,,,,,,2.75,,,2.75,,,,3.00,,,,,,,,,,,,,,,,,,3.50
Two Hearted Ale,Bell's Brewery,IPA,American IPA,Michigan,12/11/2015,December,2016,Paul W.,32,Sam E. / Retrial,3.05,5.00,,,,,4.25,,,,,,,,,3.25,3.00,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,3.50,,1.50,,3.00,,,,,,3.50,,,3.50,,,3.25,,,,,,,,,,,,,,,,,,2.00,,,,,,3.50,,,2.50,,,,,,3.50,,3.75,3.00,,,,,,,,,,,3.00,,,,,2.50,,,,,,3.00,,,,2.50,3.00,3.00,,,3.25
Bourbon Barrel Stout,Goodwood Brewing Co.,Stout,American Imperial Stout,Kentucky,3/30/2016,March,2016,Jake W.,35,Eric A.,3.05,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,4.50,3.00,,,,,,,,,,,3.50,,2.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,2.50,,,,3.00,,,,,
Tangerine Wheat Ale,Lost Coast Brewery and Cafe,Wheat,Fruited Wheat,California,10/30/2025,October,2025,Ben S.,148,Bill K.,3.05,,,,,,,3.50,,,,,,,,3.25,,2.75,,,,,,,,,,,3.00,,,,,,3.00,,2.50,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,2.50
Cloud Five Imperial IPA,Rhinegeist Brewing Co.,IPA,Imperial IPA,Ohio,6/27/2018,June,2018,Scott T.,62,Eric H.,3.05,3.00,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,2.50,,4.00,,,,,,3.75,,,3.00,,,3.00,,,,,2.25,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,
Vanilla Dark Ale,Unveiled Brewing Co.,Porter,American Porter,California,10/18/2018,October,2018,Phil H.,66,John S.,3.05,,,,,,,,,,,,,,,,3.00,,3.50,,,,,1.75,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,3.50,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,2.75,2.50,3.00,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,
Mother of Dragons Smoked Porter,Brewery Ommegang,Porter,Smoked Porter,New York,2/15/2019,February,2019,Jeremy S.,70,Paul K.,3.05,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,1.00,,2.75,,,3.00,,,3.50,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,3.75,,3.00,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,3.00
200th Anniversary Export Stout,Guinness Ltd.,Stout,Export Stout,Ireland,7/5/2019,July,2019,Dave E.,75,Steve D.,3.05,3.50,,,,,,,,,,,,,,,3.75,,,,,,,2.50,,,,,,,,,,,3.75,,,,,,,,,1.75,,,,,,,,,,2.75,,,3.50,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,3.25
Festbier German Style Party Lager,Listermann Brewing Co.,Oktoberfest,Festbier,Ohio,8/29/2023,August,2023,Jeremy S.,122,Sara P.,3.05,,,,,,,,,,,,,,,3.00,,,,,,,,2.75,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,,3.00,,,,,,3.00,,,,,,,,,,,,3.25,,,,,,,,,,,,,3.50,,,,,,,,,,3.25,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,2.75
Teddy American IPA,HighGrain Brewing Co.,IPA,American IPA,Ohio,2/28/2026,February,2026,Ryan F.,152,David A.,3.05,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,3.50,,,,,2.00,,3.50,,,,,,,,,,,3.00,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,2.25,,,,,,,,,,,,,,,,,,,,3.50,,,,3.00,,,2.75,,,,,,,,,,,,,,,
#9 Not Quite Pale Ale,Magic Hat,Fruit and Field,,Vermont,2/26/2015,February,2015,Dave E.,22,Sam E.,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,4.00,,,3.50,,,,,3.00,,,2.50,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,3.50,2.50,,,,,,,,,,,,,,,,,,,,,,2.50,,,,3.00,,,,,,,,,,,,,3.50,,,
Sweet Baby Jesus Chocolate Peanut Butter Porter,DuClaw Brewing Co.,Porter,American Porter,Maryland,12/11/2015,December,2016,Paul W.,32,Jake W.,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,3.50,,2.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,3.50,,,,,,,,,,,,2.50,,,,,,,,,,,3.50,,,,,4.00,,,,,,2.50,,,,,3.00,1.50,,,
Hopsecutioner IPA,Terrapin Beer Co.,IPA,American IPA,Georgia,7/3/2017,July,2017,Dave E.,51,Paul K.,3.04,3.00,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,3.50,,,,,,3.50,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,3.25,,,,,,,,3.25,,2.25,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,4.00,,,
Abraxas Imperial Stout,Perennial Artisan Ales,Stout,American Imperial Stout,Missouri,1/28/2022,January,2022,Standard Beer,103,Jake W.,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,3.00,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,3.00
Outlaw Pale Ale,HighGrain Brewing Co.,Pale Ale,American Pale Ale,Ohio,10/27/2022,October,2022,Juan B. / Zach M.,112,Dave E.,3.04,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
Strings Amber,Heart State Brewing,Amber,,Ohio,3/28/2024,March,2024,Zach M.,129,Zach M.,3.04,,,,,,,,,,,,,,,3.00,,2.50,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
Mugshot Coffee Cream Ale,BrewDog,Cream Ale,Coffee Cream Ale,UK,5/22/2024,May,2024,Jake W. ,131,Matt T.,3.04,,,,,,,,,,,,,,,3.00,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,2.00,,,,,,3.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,3.00,2.00,,,,,,,,,,,,,4.25,,,2.25,,,,,,,,,,,,,,,2.75
Amber Ale,West Side Brewing Co.,Amber,,Ohio,7/6/2018,July,2018,Dave E.,63,Matt S.,3.04,3.00,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,3.50,,,,,,,,,,,2.50,,3.00,,,,,,2.75,,,3.50,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,4.00,,,,,,,,,,,3.00,,,,,,,,,,,,3.25,,,,,3.00,,1.75,,,,,,,,,,,,,
Brain Freeze Cold IPA,Nine Giant Brewing,IPA,American IPA,Ohio,2/28/2026,February,2026,Ryan F.,152,Ryan F.,3.04,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,3.50,,,,,1.75,,3.00,,,,,,,,,,,3.00,,,,,,3.25,,,,,,,,,,,,,,3.00,,,,,,3.25,,,,,3.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,3.50,,,,3.00,,,3.25,,,,,,,,,,,,,,,
Black Illusion English Dark Mild,Nine Giant Brewing,Mild Ale,English Mild Ale,Ohio,2/28/2026,February,2026,Ryan F.,152,Scott T.,3.04,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,3.25,,,,,2.75,,3.00,,,,,,,,,,,2.75,,,,,,3.25,,,,,,,,,,,,,,2.50,,,,,,3.50,,,,,3.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,2.50,,,,3.75,,,3.25,,,,,,,,,,,,,,,
Hazy Little Thing IPA,Sierra Nevada Brewing Co.,IPA,New England/Hazy IPA,California,8/10/2018,August,2018,Jason M.,64,Aaron T.,3.04,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,3.00,,,3.00,,,3.50,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincy Cobra Hazy Citra IPA,Taft's Brewing Co.,IPA,New England/Hazy IPA,Ohio,5/17/2019,May,2019,Jake W.,73,Aaron T.,3.04,3.50,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,3.50,,3.00,,,,,,3.50,,,,,,,,,,,,,,,,4.00,,2.50,,,,,,,,,,,,,,,,,3.25,2.50,3.25,,,,,,,,,,,,,,,2.00,,,,,,2.50,,,,,,,,2.75,
Moher Plz Dry Irish Stout,HighGrain Brewing Co.,Stout,Irish Stout,Ohio,3/25/2021,March,2021,Paul K.,93,Paul K.,3.04,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,3.25,,,,3.75,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50
A Whole New World Pilsner,Listermann Brewing Co.,Pilsner,,Ohio,5/31/2021,May,2021,Scott T.,95,Paul K.,3.04,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,3.00,,,,2.50,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,
Heckler Juicy India Pale Ale,Northern Row Brewery,IPA,New England/Hazy IPA,Ohio,6/19/2024,June,2024,Sara P. ,132,Matt T.,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,1.00,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,3.25,,,,,,,,,,,,,,,
Rally Cap Hoppy Lager,Sonder Brewing,Lager,American Lager,Ohio,6/19/2024,June,2024,Sara P. ,132,Sara P.,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,3.75,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3.00,,,,,,,,,,,,,,,
Panther Hollow Vanilla Porter,Millersburg Brewing Co.,Porter,English Porter,Ohio,12/2/2016,December,2017,Paul W.,44,Eric A.,3.03,,,,,,,,,,,,,,,,2.50,,3.00,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,3.00,,3.00,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,2.50,,2.25,,,,,,2.25,3.50,,,,,,,,,,,2.25,5.00,,,,,,,,,,2.50,,,,,3.50,,,,,,3.25,,,,,,2.75,,,
Voodoo Ranger IPA,New Belgium Brewing Co.,IPA,American IPA,Colorado,2/24/2017,February,2017,Ben W.,46,Tony H.,3.03,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,4.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,2.75,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,2.50,,,,,
Blackout Stout,Great Lakes Brewing Co.,Stout,Russian Imperial Stout,Ohio,12/7/2018,December,2019,Paul W.,68,Jake W.,3.03,,,,,,,,,,,,,,,,3.50,,2.50,,,,,1.25,,,,,,,,,,,2.75,,,,,,4.00,,,,,3.50,,3.00,,,,,,3.00,,,3.00,,,3.25,,,,,,,,,,,,,,,,2.00,,3.25,,,,,,,,,,,,,,,,,3.25,2.75,,,,,,,,,,,,,,,,4.25,,,,,,3.25,,,,,,,,,
We Be Jammin',Odd Side Ales,Wheat,American Pale Wheat,Michigan,12/7/2018,December,2019,Paul W.,68,Jeremy S.,3.03,,,,,,,,,,,,,,,,3.50,,3.00,,,,,3.75,,,,,,,,,,,3.50,,,,,,4.00,,,,,3.00,,2.50,,,,,,2.50,,,3.50,,,4.00,,,,,,,,,,,,,,,,4.00,,3.00,,,,,,,,,,,,,,,,,2.00,2.00,,,,,,,,,,,,,,,,2.00,,,,,,2.25,,,,,,,,,
